fromid,toid,dist
120000,350700,1565.42
120000,350800,1825.63
120000,350900,1656.91
120000,360100,1414.02
120000,360200,1292.51
120000,360300,1580.38
120000,360400,1344.87
120000,360500,1494.44
120000,360600,1438.47
120000,360700,1786.68
120000,360800,1590.97
120000,360900,1446.7
120000,361000,1579.86
120000,361100,1389.78
120000,370100,364.28
120000,370200,488.31
120000,370300,369.05
120000,370400,570.06
120000,370500,279.15
120000,370600,550.75
120000,370700,421.41
120000,370800,534.53
120000,370900,437.02
120000,371000,653.08
120000,371100,543.73
120000,371300,522.81
120000,371400,294.15
120000,371500,407.69
120000,371600,242.03
120000,371700,561.62
120000,410100,748.35
120000,410200,664.43
120000,410300,906.95
120000,410400,859.64
120000,410500,563.42
120000,410600,576.4
120000,410700,643.15
120000,410800,727.66
120000,410900,505.48
120000,411000,785.64
120000,411100,807.17
120000,411200,989.16
120000,411300,964.58
120000,411400,663.29
120000,411500,954.86
120000,411600,772.0
120000,411700,888.22
120000,420100,1139.88
120000,420200,1236.22
120000,420300,1234.57
120000,420500,1334.17
120000,420600,1079.92
120000,420700,1180.15
120000,420800,1160.63
120000,420900,1115.18
120000,421000,1277.08
120000,421100,1138.25
120000,421200,1297.05
120000,421300,1053.04
120000,430100,1467.03
120000,430200,1597.08
120000,430300,1548.95
120000,430400,1646.48
120000,430500,1745.96
120000,430600,1367.02
120000,430700,1416.84
120000,430800,1530.16
120000,430900,1491.9
120000,431000,1774.33
120000,431100,1848.35
120000,431200,1717.63
120000,431300,1608.47
120000,440100,2109.19
120000,440200,1915.59
120000,440300,2151.5
120000,440400,2264.22
120000,440500,2120.69
120000,440600,2157.13
120000,440700,2261.42
120000,440800,2491.3
120000,440900,2338.89
120000,441200,2078.98
120000,441300,2089.05
120000,441400,1945.13
120000,441500,2110.57
120000,441600,1969.6
120000,441700,2294.01
120000,441800,1983.46
120000,441900,2144.99
120000,442000,2202.83
120000,445100,2058.08
120000,445200,2063.24
120000,445300,2204.5
120000,450100,2336.1
120000,450200,2072.62
120000,450300,1950.2
120000,450400,2149.43
120000,450500,2443.58
120000,450600,2482.03
120000,450700,2376.96
120000,450800,2231.61
120000,450900,2336.01
120000,451000,2448.08
120000,451100,2022.78
120000,451200,2231.22
120000,451300,2156.92
120000,451400,2488.3
120000,460100,2672.33
120000,460200,2899.42
120000,500000,1702.16
